ProjectTypes,LEEDSystemVersionDisplayName,Count
"Commercial Office, Health Care",LEED-CS 2.0,2
"Commercial Office, Multi-Unit Residence, Special Needs, Retail, Restaurant, Community Dev.",LEED For Homes Multi Family Low-Rise,1
"Higher Education, Campus (corp/school), Other",LEED-NC 2.2,1
Retail: Other Retail,LEED-EB 2.0,2
"Commercial Office, Multi-Unit Residence, Retail",LEED-NC 2.2,1
"Health Care: Outpatient, Office (Diagnostic)",LEED-CS v2009,4
Religious Worship,LEED-NC v2009,1
Office: Other Office,LEED-NC v2009,9
"Recreation, Community Dev.",LEED-NC 2.2,4
Industrial Manufacturing,LEED-CI v2009,1
"Higher Education, Assembly",LEED-NC 2.2,2
Retail: Other Retail,LEED-NC v2009,3
Warehouse and Distribution Center: Refrigerated,LEED-NC v2009,1
Retail: Open Shopping Center,LEED-CI v2009,3
Retail: Fast Food,LEED-CS v2009,1
Military Base,LEED-NC 2.1,4
Office: Government,LEED-NC v2009,47
"Public Order/Safety, Transportation, Other",LEED-NC 2.2,1
"K-12 Education, Campus (corp/school)",LEED-NC 2.2,1
Office: Mixed-Use,LEED-CS v2009,19
"Commercial Office, Restaurant, Financial & Comm.",LEED-EB O&M,1
"Multi-Unit Residence, Health Care, Campus (corp/school), Other",LEED-NC 2.2,1
Non-residential,LEED-ND v2009 Stage 2,1
"Commercial Office, Recreation, Interpretive Center, Park (eg. greenway)",LEED-NC 2.2,1
Office: Medical (Non-Diagnostic),LEED-NC v2009,4
Office: Financial,LEED-CI v2009,7
Public Assembly: Social/Meeting,LEED-CI v2009,1
Office: Government,LEED-EB:OM v2009,16
"Multi-Unit Residence, Special Needs, Other",LEED-NC 2.2,1
"Public Order/Safety, Other",LEED-NC 2.2,4
Public Assembly: Social/Meeting,LEED-NC v2009,7
"Commercial Office, Restaurant, Retail",LEED-CS 2.0,2
"Commercial Office, Military Base",LEED-NC 2.2,16
"Restaurant, Multi-Unit Residence, Higher Education, Campus (corp/school)",LEED-NC 2.2,2
"Higher Education, Library, Other",LEED-NC 2.2,1
"Commercial Office, Recreation, Restaurant",LEED-NC 2.2,1
Public Assembly: Other Assembly,LEED-CI v2009,1
